FID,fid_1,full_id,osm_id,highway,name,tiger_name,tiger_na_2,tiger_zip_,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_Angle,LocationNa,TotalPosts,sky,wall,building,fence,tree,plant,grass,road,sidewalk,streetlight,signboard,person,bicycle,car,truck,motorcycle,Very Positive,Positive,Neutral,Negative,Very Negative
0,1,w18345794,18345794,residential,North 6th Street,6th,St,65201,22,33.56513217,-92.33113145,38.951464,-114.8164056,Living Canvas Tattoo & Body Piercing,1413,0.658581396,0.08348996,0.289437321,0.05743272,0.15653036,0.013000181,0.000280757,0.744101911,0.239670505,0.285390393,0.016482871,0.296296296,0.090909091,0.377358491,0.111111111,0.333333333,0.547770701,0.306794055,0.161358811,0.127388535,0.304670913
1,1,w18345794,18345794,residential,North 6th Street,6th,St,65201,22,71.56302775,-92.33113145,38.951464,-153.5760937,Living Canvas Tattoo & Body Piercing,1413,0.45714543,0.000204296,0.478720355,0.005593471,0.280838766,0.002256579,0,0.546017896,0.306338304,0.155533513,0.008777204,0.185185185,0,0.066037736,0.166666667,0,0.547770701,0.306794055,0.161358811,0.127388535,0.304670913
2,1,w18345794,18345794,residential,North 6th Street,6th,St,65201,22,118.8258312,-92.33113145,38.951464,-163.7615176,Living Canvas Tattoo & Body Piercing,1413,0.484815202,0.014945716,0.582156397,0,0.068692839,0.26218068,0,0.469943771,0.348595864,0.249199377,0.028723258,0.296296296,0,0.108490566,0.166666667,0,0.547770701,0.306794055,0.161358811,0.127388535,0.304670913
3,1,w18345794,18345794,residential,North 6th Street,6th,St,65201,22,167.7472048,-92.33113145,38.951464,-167.988695,Living Canvas Tattoo & Body Piercing,1413,0.747813093,0.044860495,0.402072126,0.022206219,0.034051325,0.001591783,0.014419219,0.774008173,0.178028899,0.04327618,0.008857821,0.166666667,0,0,0.333333333,0.333333333,0.547770701,0.306794055,0.161358811,0.127388535,0.304670913
4,1,w18345794,18345794,residential,North 6th Street,6th,St,65201,22,217.0454798,-92.33113145,38.951464,-170.5218093,Living Canvas Tattoo & Body Piercing,1413,0.885198318,0,0.111019235,0.263137786,0.166060506,0.017144284,0.091171474,0.668868398,0.259566793,0.113022531,0.009969668,0.222222222,0,0.108490566,0.444444444,0,0.547770701,0.306794055,0.161358811,0.127388535,0.304670913
5,2,w18345884,18345884,residential,Woodson Way,Woodson,Way,65201,19,44.44998879,-92.32711,38.94767,-52.77837276,Insomnia Cookies,12,0.46758732,0,0.521368453,0.289326777,0.239187934,0.050485985,0.149591677,0.278865971,0.056671072,0.000113363,0.003137355,0.111111111,0,0.169811321,0,0,0.666666667,0,0,0.416666667,0.25
6,2,w18345884,18345884,residential,Woodson Way,Woodson,Way,65201,75,25.62898574,-92.32729,38.9472,-177.801602,J Slums,45,0.254501828,0,0.66541001,0.079517999,0.198211682,0.12235728,0.042788319,0.36574769,0.1940763,0.017599547,0.004695955,0.259259259,0.272727273,0.087264151,0.333333333,0,0.488888889,0.425,0.4,0.111111111,0.2
7,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,21,104.2822526,-92.32895,38.95084,140.7275106,Tiger Hotel,1356,0.592568332,0.127013775,0.403454402,0.000343579,0.088339509,0.043237843,0.010477633,0.659620993,0.264916556,0.329998583,0.013369029,0.222222222,0,0.5,0.111111111,0,0.660766962,0.261707227,0.152654867,0.123525074,0.173672566
8,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,22,138.7705473,-92.33113145,38.951464,-116.2864835,Living Canvas Tattoo & Body Piercing,1413,0.316036261,0.004695891,0.600986459,0,0.239972494,0.000771661,0.003928055,0.526276797,0.426123559,0.043616268,0.023355492,0.277777778,0,0.537735849,0.166666667,0,0.547770701,0.306794055,0.161358811,0.127388535,0.304670913
9,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,26,134.3450016,-92.3281715,38.9527316,77.42064042,Pressed,1530,0.377184415,0.001003969,0.508471964,0.001643684,0.255572228,0,0.021898168,0.452179841,0.52814545,0.063539748,0.005864906,0.185185185,0,0.242924528,0,0,0.650326797,0.208333333,0.176470588,0.094771242,0.232352941
10,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,26,131.5373508,-92.3281715,38.9527316,99.07341343,Pressed,1530,0.477917863,0.051780294,0.424745321,0,0.249001197,0.002116164,0.127003456,0.433090482,0.37780306,0.206121581,0.010298855,0.185185185,0,0.186320755,0.111111111,0,0.650326797,0.208333333,0.176470588,0.094771242,0.232352941
11,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,26,146.7400047,-92.3281715,38.9527316,118.8227904,Pressed,1530,0.795700625,0.126669391,0.183271697,0.034539343,0.178017834,0.019208259,0.037013359,0.444502599,0.700617048,0.466402154,0.0000773,0.111111111,0,0.66745283,0.185185185,0,0.650326797,0.208333333,0.176470588,0.094771242,0.232352941
12,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,43,133.6317583,-92.32821465,38.95427229,67.89373223,Breakout CoMo,195,0.623258224,0.000682933,0.494308234,0.00368317,0.102886811,0.076493803,0.007723343,0.512038253,0.252480315,0.018279722,0.022922174,0.388888889,0,0.143867925,0.111111111,0,0.523076923,0.217948718,0.153846154,0.08974359,0.430769231
13,3,w18345950,18345950,residential,North 7th Street,7th,St,65201,43,123.2507526,-92.32821465,38.95427229,89.87252031,Breakout CoMo,195,0.551870942,0.006554985,0.174595659,0.044868711,0.37174756,0.004930675,0.308272425,0.658606804,0.159036345,0.01904492,0.0000907,0.148148148,0,0.462264151,0.296296296,0,0.523076923,0.217948718,0.153846154,0.08974359,0.430769231
14,4,w18346617,18346617,tertiary,East Ash Street,Ash,St,65203,46,189.9562631,-92.33571,38.95222,152.8723717,"Monarch Title Company, Inc.",20,0.635993729,0.003534322,0.002678505,0.001715148,0.319876213,0.01026644,0.562357983,0.283191402,0.205555037,0.056114496,0.001246208,0.166666667,0,0.221698113,0.333333333,0,0.55,0,0.15,0.125,0.525
15,4,w18346617,18346617,tertiary,East Ash Street,Ash,St,65203,46,171.2510047,-92.33571,38.95222,167.6493977,"Monarch Title Company, Inc.",20,0.555801084,0.006934392,0.055036128,0.020677978,0.501352971,0.007125123,0.374018515,0.56415824,0.183169237,0,0.02059771,0.333333333,0,0.188679245,0.111111111,0,0.55,0,0.15,0.125,0.525
16,4,w18346617,18346617,tertiary,East Ash Street,Ash,St,65203,46,167.0790852,-92.33571,38.95222,-175.4053931,"Monarch Title Company, Inc.",20,0.617476419,0.0000467,0.140495217,0.014303895,0.356017701,0.00101894,0.418554797,0.49692917,0.012709814,0,0.021571835,0.185185185,0,0.132075472,0.277777778,0,0.55,0,0.15,0.125,0.525
17,4,w18346617,18346617,tertiary,East Ash Street,Ash,St,65203,8,141.3856118,-92.33335437,38.95382587,84.79561564,Columbia Daily Tribune,113,0.919663704,0.000671258,0.08222841,0,0.126804189,0.00428576,0.551520102,0.48211736,0.08330291,0.209550801,0.005525641,0.166666667,0,0.504716981,0.222222222,0,0.371681416,0.451327434,0.292035398,0.221238938,0.345132743
18,4,w18346617,18346617,tertiary,East Ash Street,Ash,St,65203,8,91.85728092,-92.33335437,38.95382587,81.28540938,Columbia Daily Tribune,113,0.865536607,0,0.0441721,0,0.178937964,0.002416876,0.795141558,0.358275946,0.074384438,0.143035284,0.025599339,0.222222222,0,0.837264151,0.222222222,0,0.371681416,0.451327434,0.292035398,0.221238938,0.345132743
19,5,w18346767,18346767,residential,East Stewart Road,Stewart,Rd,65203,88,168.2110177,-92.33480972,38.94675719,72.2637027,Taco Bell,65,0.462222723,0.002644175,0.053134348,0.009675194,0.545913917,0.091462278,0.435257277,0.332391191,0.13377237,0.014935525,0,0.111111111,0,0.221698113,0.222222222,0,0.569230769,0.163461538,0.276923077,0.230769231,0.253846154
20,5,w18346767,18346767,residential,East Stewart Road,Stewart,Rd,65203,88,128.9722047,-92.33480972,38.94675719,60.17572711,Taco Bell,65,0.623856887,0.086233364,0.052720678,0.00128911,0.497344147,0.058928274,0.201546022,0.269051285,0.138466502,0.000651835,0.001326826,0.259259259,0,0.066037736,0,0,0.569230769,0.163461538,0.276923077,0.230769231,0.253846154
